position,link,company,location,status,salary,company_cleaned,min_salary,max_salary,city,state,City_x,Salary 10th Percentile (for the city),Salary 25th Percentile (for the city),Salary 50th Percentile (for the city),Salary 75th Percentile (for the city),Salary 90th Percentile (for the city),City_y,Price To Income Ratio,H1B
Deep Learning Engineer,https://www.indeed.com/rc/clk?jk=24359b1c06884eea&fccid=74a4b2141032dade&vjs=3,Cyberjin,Remote,"Posted
Posted 1 day ago",121K - 153K,cyberjin,121000.0,153000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=297f001f752b9d86&fccid=29efea1158b643d0&vjs=3,FocusKPI Inc.,"Remote in San Bruno, CA","Posted
Posted 1 day ago",50 - 85 an hour,focuskpi inc,104000.0,176800.0,remote in san bruno,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Manager 3 Data Science,https://www.indeed.com/rc/clk?jk=bf2e18cda929a7b2&fccid=9784ae78e9834539&vjs=3,Intuit,"Atlanta, GA 30361","Posted
Posted 1 day ago",120K - 152K,intuit,120000.0,152000.0,atlanta,GA,atlanta,59745.0,66759.0,74463.0,80929.0,86816.0,atlanta,3.2,Yes
Sr. Data Modeling Analyst (REMOTE IN USA ONLY),https://www.indeed.com/rc/clk?jk=26b528ebe191e977&fccid=75a3a5a15b202084&vjs=3,Experian,"Remote in Costa Mesa, CA 92626","Posted
Posted 1 day ago",109K - 138K,experian,109000.0,138000.0,remote in costa mesa,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=064a75c401102cda&fccid=204c8e2f615ab5bb&vjs=3,Jerry,Remote in Michigan,"Posted
Posted 1 day ago",117K - 148K,jerry,117000.0,148000.0,remote in michigan,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
"Senior Data Analyst, Operations",https://www.indeed.com/rc/clk?jk=054ce46310a56a05&fccid=f287b6189e174df5&vjs=3,ThredUp Inc.,"Hybrid remote in Lancaster, TX 75134","Posted
Posted 1 day ago",107000 - 133000,thredup inc,107000.0,133000.0,hybrid remote in lancaster,TX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=e651a2257d2f93a8&fccid=204c8e2f615ab5bb&vjs=3,Jerry,Remote in Texas,"Posted
Posted 1 day ago",118K - 150K,jerry,118000.0,150000.0,remote in texas,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=d50dc929273836bb&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Miami, FL","Posted
Posted 1 day ago",133K - 168K,deloitte,133000.0,168000.0,miami,FL,miami,59034.0,65965.0,73578.0,79967.0,85784.0,miami,5.4,Yes
Data Analyst II - Informatics and Data Science,https://www.indeed.com/rc/clk?jk=b5c5d35805818fa9&fccid=6b1f64ade51f4574&vjs=3,Allen Institute,"Hybrid remote in Seattle, WA 98109","Posted
Posted 1 day ago",70097 - 98135,allen institute,70097.0,98135.0,hybrid remote in seattle,WA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
AI/ML Edge Computing Software Engineer,https://www.indeed.com/rc/clk?jk=2f70c57c5a5f1f51&fccid=297250c37729d201&vjs=3,Rinf,Remote,"Posted
Posted 1 day ago",109K - 139K,rinf,109000.0,139000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=d165ded7c6134892&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Dallas, TX","Posted
Posted 1 day ago",133K - 168K,deloitte,133000.0,168000.0,dallas,TX,dallas,60433.0,67528.0,75321.0,81861.0,87816.0,dallas,4.3,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=decb288107578d47&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Atlanta, GA","Posted
Posted 1 day ago",133K - 168K,deloitte,133000.0,168000.0,atlanta,GA,atlanta,59745.0,66759.0,74463.0,80929.0,86816.0,atlanta,3.2,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=e05f48f5e1e7cb81&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Nashville, TN","Posted
Posted 1 day ago",134K - 170K,deloitte,134000.0,170000.0,nashville,TN,nashville,56713.0,63371.0,70684.0,76822.0,82410.0,nashville,3.6,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=7755e5a0a6535465&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Morristown, NJ 07960","Posted
Posted 1 day ago",134K - 169K,deloitte,134000.0,169000.0,morristown,NJ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Manager 3, Data Science",https://www.indeed.com/rc/clk?jk=2f3fa61164be5f3d&fccid=9784ae78e9834539&vjs=3,Intuit,"Mountain View, CA 94043","Posted
Posted 1 day ago",127K - 161K,intuit,127000.0,161000.0,mountain view,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=6fd4a619a8d4931a&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Tempe, AZ","Posted
Posted 1 day ago",133K - 168K,deloitte,133000.0,168000.0,tempe,AZ,tempe,60098.0,67154.0,74904.0,81408.0,87330.0,Not Applicable,Not Applicable,Yes
Data Analyst II,https://www.indeed.com/rc/clk?jk=49dcd271e5cbbf8c&fccid=b0fdc0019fc1959a&vjs=3,Marceco Ltd,"Grand Rapids, MI 49512","Posted
Posted 1 day ago",51772 - 86287,marceco ltd,51772.0,86287.0,grand rapids,MI,grand rapids,58991.0,65917.0,73524.0,79908.0,85721.0,grand rapids,2.0,Yes
Senior Data Analyst,https://www.indeed.com/rc/clk?jk=b2e898d9b5d76243&fccid=79675ed446d82b2e&vjs=3,Law360,"Washington, DC","Posted
Posted 1 day ago",74.6K - 94.5K,law,74600.0,94500.0,washington,DC,washington,67714.0,75664.0,84395.0,91724.0,98396.0,washington,7.1,No
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=cddb2502dc316ad7&fccid=204c8e2f615ab5bb&vjs=3,Jerry,Remote in Georgia,"Posted
Posted 1 day ago",118K - 150K,jerry,118000.0,150000.0,remote in georgia,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Large Language Model Data Scientist,https://www.indeed.com/rc/clk?jk=783c4709b59df3a0&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Kansas City, MO","Posted
Posted 1 day ago",115K - 146K,deloitte,115000.0,146000.0,kansas city,MO,kansas city,59648.0,66651.0,74342.5,80798.0,86676.0,kansas city,5.9,Yes
Manager 3 Data Science,https://www.indeed.com/rc/clk?jk=6f027a5f9997dad1&fccid=9784ae78e9834539&vjs=3,Intuit,"Mountain View, CA 94043","Posted
Posted 1 day ago",127K - 161K,intuit,127000.0,161000.0,mountain view,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Manager 2, Data Science",https://www.indeed.com/rc/clk?jk=3274f0d535004569&fccid=9784ae78e9834539&vjs=3,Intuit,"Mountain View, CA 94043","Posted
Posted 1 day ago",121K - 153K,intuit,121000.0,153000.0,mountain view,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=7248c4a5dc5a761a&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Philadelphia, PA","Posted
Posted 1 day ago",135K - 171K,deloitte,135000.0,171000.0,philadelphia,PA,philadelphia,64551.0,72129.0,80453.0,87439.0,93800.0,philadelphia,4.3,Yes
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=94a68ae9de081634&fccid=204c8e2f615ab5bb&vjs=3,Jerry,Remote in Wisconsin,"Posted
Posted 1 day ago",116K - 147K,jerry,116000.0,147000.0,remote in wisconsin,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Research Engineer - FAIR AI-Guided Design,https://www.indeed.com/rc/clk?jk=840e190ce3d67b5c&fccid=ba07516c418dda52&vjs=3,Meta,"New York, NY","Posted
Posted 1 day ago",143000 - 204000,meta,143000.0,204000.0,new york,NY,new york,71473.0,79864.0,89081.0,96816.0,103859.0,new york,10.2,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=7c54e8d23b239234&fccid=9e215d88a6b33622&vjs=3,Deloitte,"McLean, VA","Posted
Posted 1 day ago",133K - 168K,deloitte,133000.0,168000.0,mclean,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=0ee42f7575f41432&fccid=204c8e2f615ab5bb&vjs=3,Jerry,"Remote in Washington, DC","Posted
Posted 1 day ago",122K - 154K,jerry,122000.0,154000.0,remote in washington,DC,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Staff Software Engineer - ML/AI,https://www.indeed.com/rc/clk?jk=9240c29c8ed3027e&fccid=f328e3e3bc488831&vjs=3,Stacklok,Remote,"Posted
Posted 1 day ago",160K - 203K,stacklok,160000.0,203000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Deep Learning Engineer,https://www.indeed.com/rc/clk?jk=ecefd0565689a74e&fccid=74a4b2141032dade&vjs=3,Cyberjin,Remote,"Posted
Posted 1 day ago",120K - 152K,cyberjin,120000.0,152000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=bb1ade9066148379&fccid=9e215d88a6b33622&vjs=3,Deloitte,"San Francisco, CA","Posted
Posted 1 day ago",138K - 175K,deloitte,138000.0,175000.0,san francisco,CA,san francisco,76035.0,84962.0,94767.0,102996.0,110488.0,san francisco,7.8,Yes
Machine Learning Developer,https://www.indeed.com/rc/clk?jk=6236aa5706a1ff98&fccid=dd616958bd9ddc12&vjs=3,Bullfrog Ai Management Llc,Remote,"Posted
Posted 1 day ago",112K - 142K,bullfrog ai management llc,112000.0,142000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
"Director, Data Science and Digital Health (JRD)",https://www.indeed.com/rc/clk?jk=93c72a9d32133173&fccid=0bed8e17bc113980&vjs=3,Johnson & Johnson,"Brisbane, CA","Posted
Posted 1 day ago",157000 - 236000,johnson  johnson,157000.0,236000.0,brisbane,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Natural Language Processing and Data Science Engineer,https://www.indeed.com/rc/clk?jk=0878366e570f442c&fccid=fd1f6255717cee80&vjs=3,University of Maryland,"College Park, MD 20742","Posted
Posted 1 day ago",71.1K - 90K,university of maryland,71100.0,90000.0,college park,MD,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Senior Business Data Analyst,https://www.indeed.com/rc/clk?jk=19e0cf089850a0a9&fccid=9784ae78e9834539&vjs=3,Intuit,"San Diego, CA 92129 
(Torrey Highlands area)","Posted
Posted 1 day ago",99K - 125K,intuit,99000.0,125000.0,san diego,CA,san diego,65643.0,73350.0,81815.0,88919.0,95387.0,san diego,9.8,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=fb25d0eff4ea250d&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Austin, TX","Posted
Posted 1 day ago",132K - 168K,deloitte,132000.0,168000.0,austin,TX,austin,59824.0,66848.0,74562.0,81037.0,86932.0,austin,6.8,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=d090d6d69b4442b7&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Sacramento, CA","Posted
Posted 1 day ago",136K - 173K,deloitte,136000.0,173000.0,sacramento,CA,sacramento,65871.0,73604.0,82098.0,89227.0,95718.0,sacramento,6.1,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=181f567a7bee0090&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Los Angeles, CA","Posted
Posted 1 day ago",134K - 170K,deloitte,134000.0,170000.0,los angeles,CA,los angeles,68292.0,76309.0,85116.0,92507.0,99236.0,los angeles,6.7,Yes
Senior Business Data Analyst,https://www.indeed.com/rc/clk?jk=8a2d6f8eb147f436&fccid=9784ae78e9834539&vjs=3,Intuit,"San Diego, CA 92129 
(Torrey Highlands area)","Posted
Posted 1 day ago",104K - 131K,intuit,104000.0,131000.0,san diego,CA,san diego,65643.0,73350.0,81815.0,88919.0,95387.0,san diego,9.8,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=4ddd3615a49f6885&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Atlanta, GA","Posted
Posted 1 day ago",132K - 168K,deloitte,132000.0,168000.0,atlanta,GA,atlanta,59745.0,66759.0,74463.0,80929.0,86816.0,atlanta,3.2,Yes
Senior Business Data Analyst,https://www.indeed.com/rc/clk?jk=a7b09913e8023456&fccid=9784ae78e9834539&vjs=3,Intuit,"Mountain View, CA 94043","Posted
Posted 1 day ago",106K - 135K,intuit,106000.0,135000.0,mountain view,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Senior Go to Market, Data Analyst",https://www.indeed.com/rc/clk?jk=da9b72f5a46eb185&fccid=2da0dedf6df97194&vjs=3,Procter & Gamble,"San Francisco, CA","Posted
Posted 1 day ago",100000 - 143000,procter  gamble,100000.0,143000.0,san francisco,CA,san francisco,76035.0,84962.0,94767.0,102996.0,110488.0,san francisco,7.8,Yes
Statistician,https://www.indeed.com/rc/clk?jk=8f1ef361f3f2c59f&fccid=8765a4045377753a&vjs=3,Leidos,California,"Posted
Posted 1 day ago",78000 - 141000,leidos,78000.0,141000.0,california,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=c284eb46dcf99f20&fccid=204c8e2f615ab5bb&vjs=3,Jerry,Remote in California,"Posted
Posted 1 day ago",121K - 153K,jerry,121000.0,153000.0,remote in california,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
NLP Data Scientist - Generative AI LLM Onsite California,https://www.indeed.com/rc/clk?jk=6f211e56af5abf09&fccid=18244d934292c56b&vjs=3,Chabez Tech,"Woodland Hills, CA 91367","Posted
Posted 1 day ago",116K - 146K,chabez tech,116000.0,146000.0,woodland hills,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=84a91f8420fcdcf1&fccid=204c8e2f615ab5bb&vjs=3,Jerry,Remote in Indiana,"Posted
Posted 1 day ago",115K - 146K,jerry,115000.0,146000.0,remote in indiana,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Machine Learning Engineer,https://www.indeed.com/company/OmniSync-Incorporated/jobs/Machine-Learning-Engineer-d135b2ec27e8e6e8?fccid=868f4da227e45147&vjs=3,OmniSync Incorporated,"San Diego, CA 92123 
(Kearny Mesa area)","Posted
Posted 1 day ago",79200 - 128659,omnisync incorporated,79200.0,128659.0,san diego,CA,san diego,65643.0,73350.0,81815.0,88919.0,95387.0,san diego,9.8,Yes
Data Center Logistics Lead,https://www.indeed.com/rc/clk?jk=57a60dd9d026d4e0&fccid=ba07516c418dda52&vjs=3,Meta,"Ashburn, VA 20147","Posted
Posted 1 day ago",113000 - 157000,meta,113000.0,157000.0,ashburn,VA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=7eaaa8d1b9b93f1e&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Chicago, IL","Posted
Posted 1 day ago",134K - 169K,deloitte,134000.0,169000.0,chicago,IL,chicago,64168.0,71701.0,79976.0,86920.0,93243.0,chicago,3.7,Yes
Data Scientist - Business Management,https://www.indeed.com/rc/clk?jk=d467e5f3732f9fa6&fccid=b45c4b5a9c9a7448&vjs=3,"Advanced Micro Devices, Inc","Austin, TX 78735 
(East Oak Hill area)","Posted
Posted 1 day ago",136K - 172K,advanced micro devices inc,136000.0,172000.0,austin,TX,austin,59824.0,66848.0,74562.0,81037.0,86932.0,austin,6.8,Yes
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=6b22bf7834b7c898&fccid=204c8e2f615ab5bb&vjs=3,Jerry,Remote in Colorado,"Posted
Posted 1 day ago",120K - 152K,jerry,120000.0,152000.0,remote in colorado,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=b4fddc76d38ca299&fccid=204c8e2f615ab5bb&vjs=3,Jerry,Remote in Florida,"Posted
Posted 1 day ago",117K - 148K,jerry,117000.0,148000.0,remote in florida,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Senior Data Analyst/Engineer,https://www.indeed.com/rc/clk?jk=623410fb5dc4cfad&fccid=ae3ba26fed950f3e&vjs=3,ARK Solutions,"Washington, DC","Posted
Posted 1 day ago",110K - 139K,ark solutions,110000.0,139000.0,washington,DC,washington,67714.0,75664.0,84395.0,91724.0,98396.0,washington,7.1,Yes
Staff Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=02208a832664b962&fccid=5b7c51fa0a062333&vjs=3,Xometry,Remote,"Posted
Posted 1 day ago",139K - 177K,xometry,139000.0,177000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=2c10e7b1664d8c20&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Houston, TX","Posted
Posted 1 day ago",132K - 168K,deloitte,132000.0,168000.0,houston,TX,houston,61893.0,69159.0,77140.0,83839.0,89937.0,houston,4.3,Yes
Algorithmic Trading Specialist,https://www.indeed.com/company/Bloomin-Business-Consultants/jobs/Algorithmic-Trading-Specialist-cabe7fde8128b6c1?fccid=f21f084150346096&vjs=3,Bloomin Business Consultants,Remote,"Posted
Posted 1 day ago",200000 - 250000,bloomin business consultants,200000.0,250000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=74625f0747a702d6&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Costa Mesa, CA","Posted
Posted 1 day ago",136K - 173K,deloitte,136000.0,173000.0,costa mesa,CA,costa mesa,67823.0,75786.0,84532.0,91872.0,98555.0,Not Applicable,Not Applicable,Yes
Senior Business Data Analyst,https://www.indeed.com/rc/clk?jk=1fca9f24384d0311&fccid=9784ae78e9834539&vjs=3,Intuit,"Mountain View, CA 94043","Posted
Posted 1 day ago",101K - 128K,intuit,101000.0,128000.0,mountain view,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Application Consultant – Artificial Intelligence,https://www.indeed.com/rc/clk?jk=e5d3190dacd99c18&fccid=de71a49b535e21cb&vjs=3,IBM,"Dallas, TX 75201","Posted
Posted 1 day ago",126000 - 235000,ibm,126000.0,235000.0,dallas,TX,dallas,60433.0,67528.0,75321.0,81861.0,87816.0,dallas,4.3,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=7693679d57da7fc0&fccid=9e215d88a6b33622&vjs=3,Deloitte,"St. Louis, MO","Posted
Posted 1 day ago",134K - 169K,deloitte,134000.0,169000.0,st. louis,MO,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=1ff46dc47b14b288&fccid=9e215d88a6b33622&vjs=3,Deloitte,"San Jose, CA","Posted
Posted 1 day ago",135K - 171K,deloitte,135000.0,171000.0,san jose,CA,san jose,76339.0,85302.0,95146.0,103408.0,110930.0,san jose,10.2,Yes
Research Scientist / Statistician [Education & Public Health],"https://www.indeed.com/company/Far-Harbor,-LLC/jobs/Research-Scientist-95b75ec450d901f4?fccid=de3154e7f6e2534c&vjs=3","Far Harbor, LLC","Hybrid remote in Austin, TX 78701","Posted
Posted 1 day ago",92000 - 124000,far harbor llc,92000.0,124000.0,hybrid remote in austin,TX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
AVP Data Science,https://www.indeed.com/rc/clk?jk=14fbf0cde002b8ce&fccid=b6e80abbe732699d&vjs=3,GM Financial,"Hybrid remote in Fort Worth, TX 76102","Posted
Posted 1 day ago",157K - 198K,gm financial,157000.0,198000.0,hybrid remote in fort worth,TX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Staff Software Engineer - Machine Learning Engineering,https://www.indeed.com/rc/clk?jk=58072c04b0cb6c61&fccid=f2ab4689def17626&vjs=3,Discord,"San Francisco, CA 94107 
(Potrero Hill area)","Posted
Posted 1 day ago",182K - 231K,discord,182000.0,231000.0,san francisco,CA,san francisco,76035.0,84962.0,94767.0,102996.0,110488.0,san francisco,7.8,Yes
Mid-level AI Machine Learning Developer - Remote - USA,https://www.indeed.com/rc/clk?jk=2ea5eea5a327345c&fccid=9c6c0fa81112149a&vjs=3,FullStack Labs,"Remote in Austin, TX","Posted
Posted 1 day ago",93.2K - 118K,fullstack labs,93200.0,118000.0,remote in austin,TX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Research Engineer - FAIR AI-Guided Design,https://www.indeed.com/rc/clk?jk=63f79232589fed61&fccid=ba07516c418dda52&vjs=3,Meta,"Menlo Park, CA 94025","Posted
Posted 1 day ago",143000 - 204000,meta,143000.0,204000.0,menlo park,CA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Senior Manager of Data Science & Analytics,https://www.indeed.com/rc/clk?jk=953a41dae9e14c95&fccid=e6ab3ceeefd16cc9&vjs=3,Shipwell,"Remote in Austin, TX","Posted
Posted 1 day ago",170000 - 210000,shipwell,170000.0,210000.0,remote in austin,TX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Emily Peek Wallace ‘72 Director- School of Mathematical and Statistical Sciences,https://www.indeed.com/rc/clk?jk=6254f5971e1b9ff6&fccid=d90edaccbd86b65a&vjs=3,Clemson University,"Clemson, SC","Posted
Posted 1 day ago",117385 - 187815,clemson university,117385.0,187815.0,clemson,SC,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=754d3901c40f2f1e&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Cleveland, OH","Posted
Posted 1 day ago",134K - 169K,deloitte,134000.0,169000.0,cleveland,OH,cleveland,60047.0,67096.0,74839.0,81338.0,87255.0,cleveland,1.5,Yes
Manager Data Science,https://www.indeed.com/rc/clk?jk=3bbd97aab56b8342&fccid=4b7bfc146217c50e&vjs=3,The Infosoft Group,"Riverwoods, IL","Posted
Posted 1 day ago",97.3K - 123K,the infosoft group,97300.0,123000.0,riverwoods,IL,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=55c5b72e2c84f9ad&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Seattle, WA","Posted
Posted 1 day ago",134K - 169K,deloitte,134000.0,169000.0,seattle,WA,seattle,67118.0,74998.0,83652.0,90917.0,97530.0,seattle,5.9,Yes
Senior Data Scientist (Hybrid) - 15859,https://www.indeed.com/rc/clk?jk=96eab9c457bdc5a3&fccid=9f2bb83bd9bfe2fc&vjs=3,HII,"Hybrid remote in Augusta, GA","Posted
Posted 1 day ago",132K - 167K,hii,132000.0,167000.0,hybrid remote in augusta,GA,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=d295a506e76ba6ef&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Minneapolis, MN","Posted
Posted 1 day ago",133K - 168K,deloitte,133000.0,168000.0,minneapolis,MN,minneapolis,64806.0,72415.0,80772.0,87785.0,94171.0,minneapolis,5.9,Yes
Deep Learning Data Science Manager,https://www.indeed.com/rc/clk?jk=3eadc10fae5cfa10&fccid=9e215d88a6b33622&vjs=3,Deloitte,"Denver, CO","Posted
Posted 1 day ago",131K - 166K,deloitte,131000.0,166000.0,denver,CO,denver,61820.0,69077.0,77049.0,83740.0,89831.0,denver,3.9,Yes
"Senior Data Scientist, Product Growth",https://www.indeed.com/rc/clk?jk=1b5cc1dfb2f65903&fccid=204c8e2f615ab5bb&vjs=3,Jerry,Remote in Massachusetts,"Posted
Posted 1 day ago",116K - 147K,jerry,116000.0,147000.0,remote in massachusetts,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
Sr VP Data Science,https://www.indeed.com/rc/clk?jk=3b946bb61b21c118&fccid=2ecf4575019bf07a&vjs=3,CEDENT,"Atlanta, GA","Posted
Posted 1 day ago",123K - 155K,cedent,123000.0,155000.0,atlanta,GA,atlanta,59745.0,66759.0,74463.0,80929.0,86816.0,atlanta,3.2,No
Sr Staff Machine Learning Architect,https://www.indeed.com/rc/clk?jk=a9e5c2f151ee2e60&fccid=7442885bc0fa7c14&vjs=3,ServiceNow,"Remote in Austin, TX 78701","Posted
Posted 1 day ago",179K - 227K,servicenow,179000.0,227000.0,remote in austin,TX,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
