position,link,company,location,status,salary,company_cleaned,min_salary,max_salary,city,state,City_x,Salary 10th Percentile (for the city),Salary 25th Percentile (for the city),Salary 50th Percentile (for the city),Salary 75th Percentile (for the city),Salary 90th Percentile (for the city),City_y,Price To Income Ratio,H1B
Principal - Artificial intelligence (AI)& ML- Data Scientist - USC & GC,https://www.indeed.com/company/Source-Mantra/jobs/Principal-Scientist-2e3acefb6c97477d?fccid=b65445b262770b09&vjs=3,Source Mantra,Remote,"Posted
Posted 2 days ago",100000 - 120000,source mantra,100000.0,120000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
Senior Associate - Data Analyst,https://www.indeed.com/rc/clk?jk=549e18b88a6f9c60&fccid=f0595ebb13247329&vjs=3,New York Life Insurance Co,"Hybrid remote in New York, NY","Posted
Posted 2 days ago",90000 - 135000,new york life insurance co,90000.0,135000.0,hybrid remote in new york,NY,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Data Scientist II/III,https://www.indeed.com/rc/clk?jk=bd8d8737ad9c5d59&fccid=b4ae64835618776c&vjs=3,National Renewable Energy Laboratory,"Golden, CO","Posted
Posted 2 days ago",77600 - 139700,national renewable energy laboratory,77600.0,139700.0,golden,CO,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2024 University Graduate - Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=3ce7e43a1d6baf81&fccid=f89deb5a97c7738a&vjs=3,Adobe,"San Jose, CA 95110 
(Downtown area)","Posted
Posted 2 days ago",97700 - 192000,adobe,97700.0,192000.0,san jose,CA,san jose,76339.0,85302.0,95146.0,103408.0,110930.0,san jose,10.2,Yes
"Data Scientist, Data Product",https://www.indeed.com/rc/clk?jk=3d9dfd8cbb9734bc&fccid=68842b7a56bf8263&vjs=3,Syracuse University,"Syracuse, NY","Posted
Posted 2 days ago",57000 - 70000,syracuse university,57000.0,70000.0,syracuse,NY,syracuse,60496.0,67598.0,75399.0,81947.0,87908.0,syracuse,8.3,Yes
Data Scientist,https://www.indeed.com/rc/clk?jk=89396ce9ecda257f&fccid=838ea0d2fb79dfb8&vjs=3,"Spalding Consulting, Inc.","Havelock, NC","Posted
Posted 2 days ago",115K - 145K,spalding consulting inc,115000.0,145000.0,havelock,NC,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
"Senior Data Engineer (Remote, US)",https://www.indeed.com/rc/clk?jk=e59ac7f5ccbcae77&fccid=233c61fc6c9ea9e7&vjs=3,Collective[i],Remote in United States,"Posted
Posted 2 days ago",75000 - 110000,collective[i],75000.0,110000.0,remote in united states,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes
Applied Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=99f5b55f0c2b3623&fccid=28005d10129abbe1&vjs=3,Nooks,Remote,"Posted
Posted 2 days ago",120000 - 200000,nooks,120000.0,200000.0,remote,Not Applicable,remote,0.0,0.0,0.0,0.0,0.0,remote,0.00,No
Sr Data Analyst,https://www.indeed.com/rc/clk?jk=83877e8c031748d1&fccid=1ea0475711674f3b&vjs=3,"Fiserv, Inc.","Omaha, NE 68124","Posted
Posted 2 days ago",80.6K - 102K,fiserv inc,80600.0,102000.0,omaha,NE,omaha,57509.0,64261.0,71677.0,77901.0,83568.0,omaha,5.2,Yes
Machine Learning / Operations Lead Engineer,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5IatSLh_Ak1q39eQQoPIxD737RW9NeiYGvIRXkrLjEBkC4LI6KweF0vk9JRHgKW_lltyEOqIyIRtTdOy-d8MLAIfKRvfzS5_hXTGAomD7mgatnMArCK1HxX1ytiBQVtb7g77g_TCTQqd4-ryIFQOxNYietpio8-_JRTYWWuYQgQZcFpQJ-o4bBiFj8D-S3-43815rh-ps950Deya9MlkoWGKPAxVkj0oZtpD9rKjTa2rs4edsHqk4QF1M_2CJfvlP0Jp-BU9bX8BAEA0MRask7N9ChShJtB0z8teQHVLuc6bcQhKlFj-AV6EPRtqIN5ajYc5hN98CkUua9K3Lk1oHfYpFTjlXgHQ8ZhAAtq5TkDzyl1pQUN9HzMWniLQonbnk20WQU9qYWwhPJLyL_NREySdkyk6CBEEF27mvZRA3UAGtjnWlmESYFlwmJZyUOTZGDUK2brbpovTF3HYZuulmznYxpxtw55fj1TznNTlaj9RCKwGruoGZSqtyDd5ew-YIlLPH_rhLEHi3S768n6OOmEy0mOnZrDtccfMEuKvPi4AxllePbp6NrFAZguFqQaBYMZupun9o2WnczzXKGPf22mUf9QDnO4WkHnZUdvGJSG25jNN_iUW9rWHVoktHZv4bfhyuTaMf80qp_AwS1PK9&xkcb=SoCI-_M3KQrw6Dw23Z0MbzkdCdPP&p=7&fvj=0&vjs=3,Kforce,"Miami, FL 33132 
(Downtown area)","Posted
Posted 2 days ago",55 - 74 an hour,kforce,114400.0,153920.0,miami,FL,miami,59034.0,65965.0,73578.0,79967.0,85784.0,miami,5.4,Yes
